clip_id,action,camera_angle,limb_used,participant_id,notes
kicking/1.mp4,kicking,,,,
kicking/2.mp4,kicking,,,,
kicking/3.mp4,kicking,,,,
kicking/4.mp4,kicking,,,,
kicking/5.mp4,kicking,,,,
kicking/6.mp4,kicking,,,,
kicking/7.mp4,kicking,,,,
kicking/8.mp4,kicking,,,,
kicking/9.mp4,kicking,,,,
kicking/10.mp4,kicking,,,,
kicking/11.mp4,kicking,,,,
kicking/12.mp4,kicking,,,,
kicking/13.mp4,kicking,,,,
kicking/14.mp4,kicking,,,,
kicking/15.mp4,kicking,,,,
kicking/16.mp4,kicking,,,,
kicking/17.mp4,kicking,,,,
kicking/18.mp4,kicking,,,,
kicking/19.mp4,kicking,,,,
kicking/20.mp4,kicking,,,,
kicking/21.mp4,kicking,,,,
kicking/22.mp4,kicking,,,,
kicking/23.mp4,kicking,,,,
kicking/24.mp4,kicking,,,,
kicking/25.mp4,kicking,,,,
kicking/26.mp4,kicking,,,,
kicking/27.mp4,kicking,,,,
kicking/28.mp4,kicking,,,,
kicking/29.mp4,kicking,,,,
kicking/30.mp4,kicking,,,,
kicking/31.mp4,kicking,,,,
kicking/32.mp4,kicking,,,,
kicking/33.mp4,kicking,,,,
kicking/34.mp4,kicking,,,,
kicking/35.mp4,kicking,,,,
kicking/36.mp4,kicking,,,,
kicking/37.mp4,kicking,,,,
kicking/38.mp4,kicking,,,,
kicking/39.mp4,kicking,,,,
kicking/40.mp4,kicking,,,,
kicking/41.mp4,kicking,,,,
kicking/42.mp4,kicking,,,,
kicking/43.mp4,kicking,,,,
kicking/44.mp4,kicking,,,,
kicking/45.mp4,kicking,,,,
kicking/46.mp4,kicking,,,,
kicking/47.mp4,kicking,,,,
kicking/48.mp4,kicking,,,,
kicking/49.mp4,kicking,,,,
kicking/50.mp4,kicking,,,,
kicking/51.mp4,kicking,,,,
kicking/52.mp4,kicking,,,,
kicking/53.mp4,kicking,,,,
kicking/54.mp4,kicking,,,,
kicking/55.mp4,kicking,,,,
kicking/56.mp4,kicking,,,,
kicking/57.mp4,kicking,,,,
kicking/58.mp4,kicking,,,,
kicking/59.mp4,kicking,,,,
kicking/60.mp4,kicking,,,,
kicking/61.mp4,kicking,,,,
kicking/62.mp4,kicking,,,,
kicking/63.mp4,kicking,,,,
kicking/64.mp4,kicking,,,,
kicking/65.mp4,kicking,,,,
kicking/66.mp4,kicking,,,,
kicking/67.mp4,kicking,,,,
kicking/68.mp4,kicking,,,,
kicking/69.mp4,kicking,,,,
kicking/70.mp4,kicking,,,,
kicking/71.mp4,kicking,,,,
kicking/72.mp4,kicking,,,,
kicking/73.mp4,kicking,,,,
kicking/74.mp4,kicking,,,,
kicking/75.mp4,kicking,,,,
kicking/76.mp4,kicking,,,,
kicking/77.mp4,kicking,,,,
kicking/78.mp4,kicking,,,,
kicking/79.mp4,kicking,,,,
kicking/80.mp4,kicking,,,,
kicking/81.mp4,kicking,,,,
kicking/82.mp4,kicking,,,,
kicking/83.mp4,kicking,,,,
kicking/84.mp4,kicking,,,,
kicking/85.mp4,kicking,,,,
kicking/86.mp4,kicking,,,,
kicking/87.mp4,kicking,,,,
kicking/88.mp4,kicking,,,,
kicking/89.mp4,kicking,,,,
kicking/90.mp4,kicking,,,,
kicking/91.mp4,kicking,,,,
kicking/92.mp4,kicking,,,,
kicking/93.mp4,kicking,,,,
kicking/94.mp4,kicking,,,,
kicking/95.mp4,kicking,,,,
kicking/96.mp4,kicking,,,,
kicking/97.mp4,kicking,,,,
kicking/98.mp4,kicking,,,,
kicking/99.mp4,kicking,,,,
kicking/100.mp4,kicking,,,,
kicking/101.mp4,kicking,,,,
kicking/102.mp4,kicking,,,,
kicking/103.mp4,kicking,,,,
kicking/104.mp4,kicking,,,,
kicking/105.mp4,kicking,,,,
kicking/106.mp4,kicking,,,,
kicking/107.mp4,kicking,,,,
kicking/108.mp4,kicking,,,,
kicking/109.mp4,kicking,,,,
kicking/110.mp4,kicking,,,,
kicking/111.mp4,kicking,,,,
kicking/112.mp4,kicking,,,,
kicking/113.mp4,kicking,,,,
kicking/114.mp4,kicking,,,,
kicking/115.mp4,kicking,,,,
kicking/116.mp4,kicking,,,,
kicking/117.mp4,kicking,,,,
kicking/118.mp4,kicking,,,,
kicking/119.mp4,kicking,,,,
kicking/120.mp4,kicking,,,,
kicking/121.mp4,kicking,,,,
kicking/122.mp4,kicking,,,,
kicking/123.mp4,kicking,,,,
kicking/124.mp4,kicking,,,,
kicking/125.mp4,kicking,,,,
kicking/126.mp4,kicking,,,,
kicking/127.mp4,kicking,,,,
kicking/128.mp4,kicking,,,,
kicking/129.mp4,kicking,,,,
kicking/130.mp4,kicking,,,,
kicking/131.mp4,kicking,,,,
kicking/132.mp4,kicking,,,,
kicking/133.mp4,kicking,,,,
kicking/134.mp4,kicking,,,,
kicking/135.mp4,kicking,,,,
kicking/136.mp4,kicking,,,,
kicking/137.mp4,kicking,,,,
kicking/138.mp4,kicking,,,,
kicking/139.mp4,kicking,,,,
kicking/140.mp4,kicking,,,,
kicking/141.mp4,kicking,,,,
kicking/142.mp4,kicking,,,,
kicking/143.mp4,kicking,,,,
kicking/144.mp4,kicking,,,,
kicking/145.mp4,kicking,,,,
kicking/146.mp4,kicking,,,,
kicking/147.mp4,kicking,,,,
kicking/148.mp4,kicking,,,,
kicking/149.mp4,kicking,,,,
kicking/150.mp4,kicking,,,,
kicking/151.mp4,kicking,,,,
kicking/152.mp4,kicking,,,,
kicking/153.mp4,kicking,,,,
kicking/154.mp4,kicking,,,,
kicking/155.mp4,kicking,,,,
kicking/156.mp4,kicking,,,,
kicking/157.mp4,kicking,,,,
kicking/158.mp4,kicking,,,,
kicking/159.mp4,kicking,,,,
